TIME;LC_INIT
749.5852;-0.03914104
749.6057;-0.07614728
749.6261;-0.08606279
749.6465;-0.08583574
749.667;-0.07627864
749.6874;-0.03788619
749.7078;-0.0071465196
749.7283;-0.0045569926
749.7487;-0.0042234072
749.7691;-0.003766606
749.7896;-0.003939302
749.81;-0.00377464
749.8304;-0.004261759
749.8509;-0.003661898
749.8713;-0.003942113
749.8917;-0.004323909
749.9122;-0.003814813
749.9326;-0.0039856383
749.953;-0.0045162695
749.9735;-0.0043689306
749.9939;-0.0043047927
750.0143;-0.004655277
750.0348;-0.0040572863
750.0552;-0.0047342307
750.0756;-0.0048730117
750.0961;-0.0056333197
750.1165;-0.0053957854
750.1369;-0.0052176225
750.1574;-0.0059174206
750.1778;-0.0052917777
750.1982;
750.2187;-0.0053068874
750.2391;-0.0058060433
750.2595;-0.0058271396
750.28;-0.005858565
750.3004;-0.0061032386
750.3208;-0.005966798
750.3413;-0.006128189
750.3617;-0.0057997275
750.3821;-0.006191609
750.4026;-0.006014584
750.423;-0.00512657
750.4434;-0.004864555
750.4639;-0.006126834
750.4843;-0.0060638348
750.5047;-0.0056241946
750.5252;-0.0057914415
750.5456;-0.0057566636
750.566;-0.005924236
750.5864;-0.0055485214
750.6069;-0.005827435
750.6273;-0.0052196034
750.6477;-0.005322681
750.6682;-0.005637624
750.6886;-0.0055982918
750.709;-0.005068456
750.7295;-0.0052365162
750.7499;-0.0045839534
750.7703;-0.0045566577
750.7908;-0.0048589134
750.8112;-0.004267592
750.8316;-0.0039014744
750.8521;-0.0038725524
750.8725;-0.003627536
750.8929;-0.0028182492
750.9134;-0.002162433
750.9338;-0.0024748545
750.9542;-0.00179041
750.9747;-0.0018766519
750.9951;-0.0017782738
751.0155;-0.0014510322
751.036;-0.0011213507
751.0564;-0.0011740032
751.0768;-0.00044702285
751.0973;-0.0011545473
751.1177;2.2108541e-05
751.1381;-0.00016612165
751.1586;-0.0003472761
751.179;0.00029577131
751.1994;-0.0037319025
751.2199;-0.0061049103
751.2403;-0.006277525
751.2607;-0.0036073183
751.2812;0.0010432827
751.3016;0.0016712026
751.322;0.0015299814
751.3425;0.002046804
751.3629;0.0016515881
751.3833;0.0016186989
751.4038;0.0015341649
751.4242;0.0015606468
751.4446;0.0017953345
751.4651;0.0012907293
751.4855;0.0014129371
751.5059;0.0013307616
751.5264;0.0013036468
751.5468;0.0017064444
751.5672;0.00087741227
751.5877;0.0008961678
751.6081;0.00037554046
751.6285;0.00037965656
751.649;0.00032049764
751.6694;0.00042505676
751.6898;-0.00014176629
751.7103;-0.00029022593
751.7307;-0.00084582536
751.7511;-0.0008769253
751.7716;-0.001397146
751.792;-0.0016342558
751.8124;-0.0016992706
751.8329;-0.0015256619
751.8533;-0.0022740143
751.8737;-0.002644831
751.8942;-0.002581832
751.9146;-0.0032980589
751.935;-0.0032928854
751.9555;-0.00317938
751.9759;-0.004327959
751.9963;-0.0050379233
752.0168;-0.0056706243
752.0372;-0.006002972
752.0576;-0.0063432897
752.0781;-0.007011857
752.0985;-0.0068803774
752.1189;-0.006975322
752.1394;-0.007741079
752.1598;-0.008404441
752.1802;-0.008031654
752.2007;-0.008649878
752.2211;
752.2415;-0.008887508
752.262;-0.008957728
752.2824;-0.009330415
752.3028;-0.009789719
752.3233;-0.009759578
752.3437;-0.009715447
752.3641;-0.009099646
752.3846;-0.008457493
752.405;-0.008929078
752.4254;-0.008404204
752.4459;-0.008465883
752.4663;-0.008097082
752.4867;-0.0076894048
752.5072;-0.0072182086
752.5276;-0.007371792
752.548;-0.0073203417
752.5685;-0.006702832
752.5889;-0.0068600755
752.6093;-0.006379038
752.6298;-0.005452798
752.6502;-0.005301474
752.6706;-0.004969028
752.6911;-0.0053769313
752.7115;-0.0050527803
752.7319;-0.004706182
752.7524;-0.0042622313
752.7728;-0.0039260434
752.7932;-0.003919406
752.8137;-0.0034847269
752.8341;-0.0034596277
752.8545;-0.0034049242
752.875;-0.0025892123
752.8954;-0.0023759145
752.9158;-0.002747626
752.9363;-0.002500739
752.9567;-0.0026824628
752.9771;-0.0020847162
752.9976;-0.0020655543
753.018;-0.0020005216
753.0384;-0.0017821001
753.0589;
753.0793;
753.0997;
753.1202;-0.001494399
753.1406;-0.001298262
753.161;-0.0017734257
753.1815;-0.0016014437
753.2019;-0.0010022335
753.2223;-0.0012443045
753.2428;-0.001304358
753.2632;-0.0011002506
753.2836;-0.0015375144
753.3041;-0.0011212161
753.3245;-0.0012106299
753.3449;-0.0011498266
753.3654;-0.00064512214
753.3858;-0.00015684645
753.4062;-0.00016061943
753.4267;-0.0001234019
753.4471;-0.00040011958
753.4675;-0.00042772235
753.488;-0.0001043033
753.5084;-0.00033881053
753.5288;-0.00047588395
753.5493;-0.00089094456
753.5697;-0.0003949425
753.5901;5.941844e-05
753.6106;-2.7799495e-05
753.631;-0.00012550905
753.6514;0.0007415221
753.6719;0.00060249673
753.6923;0.0009070472
753.7127;0.0007997406
753.7332;0.0010994925
753.7536;0.0018809641
753.774;0.001960392
753.7945;0.0022869017
753.8149;0.0026091821
753.8353;0.0030212514
753.8558;0.0034314499
753.8762;0.0037784546
753.8966;0.0037192958
753.9171;0.004391622
753.9375;0.0051664244
753.9579;0.0050862823
753.9784;0.005144402
753.9988;0.0051934933
754.0192;0.005926492
754.0397;0.006202089
754.0601;0.0062299534
754.0805;0.006522386
754.101;0.0066466266
754.1214;0.006720931
754.1418;0.00704557
754.1623;0.0072672446
754.1827;0.0072367955
754.2031;0.007793226
754.2236;0.0074363165
754.244;0.007867904
754.2644;0.007837944
754.2849;0.00706202
754.3053;-0.021159647
754.3257;-0.062140096
754.3462;-0.07415392
754.3666;-0.07837199
754.387;-0.06844248
754.4075;-0.03210191
754.4279;0.004042245
